topic,gtopic,gtopic_content
19,G0,"7. Complaints relating to Reward Program, Payment using Coins"
22,G0,"7. Complaints relating to Reward Program, Payment using Coins"
18,G1,6. Topup/Bill payment issues
2,G1,6. Topup/Bill payment issues
14,G1,6. Topup/Bill payment issues
21,G2,"7. Complaints relating to Reward Program, Payment using Coins"
28,G2,"7. Complaints relating to Reward Program, Payment using Coins"
4,G3,5. Money Transfer (can't transfer/slow transfer/transfered but not received)
13,G3,5. Money Transfer (can't transfer/slow transfer/transfered but not received)
9,G3,5. Money Transfer (can't transfer/slow transfer/transfered but not received)
24,G3,5. Money Transfer (can't transfer/slow transfer/transfered but not received)
5,G4,4. Login App/smart OTP issues
25,G4,4. Login App/smart OTP issues
3,G4,4. Login App/smart OTP issues
6,G5,3. eKYC registration issues (eg. Face/IDCard scanning)
10,G5,3. eKYC registration issues (eg. Face/IDCard scanning)
1,G6,1. App Quality Complaint (slow/lag/bad experience)
8,G6,1. App Quality Complaint (slow/lag/bad experience)
27,G6,1. App Quality Complaint (slow/lag/bad experience)
17,G6,1. App Quality Complaint (slow/lag/bad experience)
16,G7,2. App Error Complaint
29,G7,2. App Error Complaint
12,G6,1. App Quality Complaint (slow/lag/bad experience)
7,G6,1. App Quality Complaint (slow/lag/bad experience)
15,G6,1. App Quality Complaint (slow/lag/bad experience)
26,G6,1. App Quality Complaint (slow/lag/bad experience)
23,G6,1. App Quality Complaint (slow/lag/bad experience)
11,G10,9. Supporting staff complaint
0,G11,8. Card issues
20,G11,8. Card issues
-1,UNK,Considering topics
